Date	Account	Category	Amount	Note
2025-08-06	OPay	Uncategorized	8.0	 Aug  EChannel Access Bank 
2025-08-07	Access Bank	Uncategorized	8918.43	TRF2MPT8om451953443302562213888EMMANUEL -
2025-08-07	Access Bank	Uncategorized	-38.24	SMS Alert Fee-2906-28072025  VAT  -
2025-08-07	OPay	Uncategorized	2.0	 Aug OWealth Interest Earned  EChannel
2025-08-08	OPay	Uncategorized	8.0	 Aug EChannel
2025-08-08	OPay	Uncategorized	21.0	 Aug  EChannel
2025-08-08	OPay	Uncategorized	2.0	 Aug OWealth Interest Earned  EChannel EBFdWNkojucDiIhRNb
2025-08-08	OPay	Uncategorized	8.0	 Aug EChannel PalmPay 
2025-08-08	OPay	Uncategorized	8.0	 Aug  EChannel
2025-08-08	OPay	Uncategorized	9.0	 Aug  EChannel Kuda MFB 
2025-08-08	OPay	Uncategorized	14.0	 Aug EChannel PalmPay 
2025-08-08	OPay	Uncategorized	-21.0	 Aug Autosave to OWealth Balance EChannel
2025-08-09	OPay	Uncategorized	14.0	 Aug EChannel
2025-08-09	OPay	Uncategorized	-9.0	 Aug OWealth Withdrawal EChannel
2025-08-09	OPay	Uncategorized	19.0	 Aug EMPIRE VENTURE JAMES EChannel MONIE POINT 
2025-08-09	OPay	Uncategorized	18.0	 Aug  EChannel
2025-08-09	OPay	Uncategorized	18.0	 Aug EChannel Kuda MFB 
2025-08-09	OPay	Uncategorized	14.0	 Aug  EChannel
2025-08-09	OPay	Uncategorized	9.0	 Aug  EChannel
2025-08-09	OPay	Uncategorized	14.0	 Aug EChannel OPay 
2025-08-09	OPay	Uncategorized	18.0	 Aug EChannel
2025-08-09	OPay	Uncategorized	19.0	 Aug  EChannel
2025-08-09	OPay	Uncategorized	2.0	 Aug OWealth Interest Earned  EChannel
2025-08-09	OPay	Uncategorized	9.0	 Aug EChannel PalmPay 
2025-08-09	OPay	Uncategorized	19.0	 Aug EChannel
2025-08-10	Access Bank	Uncategorized	50.0	FGN ELECTRONIC MONEY TRANSFER LEVY  -
2025-08-10	OPay	Uncategorized	16.0	 Aug  EChannel
2025-08-10	OPay	Uncategorized	16.0	 Aug EChannel PalmPay 
2025-08-10	OPay	Uncategorized	16.0	 Aug EChannel
2025-08-10	OPay	Uncategorized	1.0	 Aug OWealth Interest Earned  EChannel
2025-08-11	OPay	Uncategorized	20.0	 Aug EChannel
2025-08-11	OPay	Uncategorized	2.0	 Aug OWealth Interest Earned  EChannel tJxowFZegKvPytxIKAF
2025-08-11	OPay	Uncategorized	20.0	 Aug EChannel PalmPay 
2025-08-11	OPay	Uncategorized	20.0	 Aug  EChannel
2025-08-12	OPay	Uncategorized	2.0	 Aug OWealth Interest Earned  EChannel GBTZoCOMLITjigZlS
2025-08-13	OPay	Uncategorized	6.0	 Aug EChannel OPay 
2025-08-13	OPay	Uncategorized	14.0	 Aug EChannel PalmPay 
2025-08-13	OPay	Uncategorized	14.0	 Aug  EChannel
2025-08-13	OPay	Uncategorized	6.0	 Aug EChannel
2025-08-13	OPay	Uncategorized	14.0	 Aug EChannel
2025-08-13	OPay	Uncategorized	6.0	 Aug  EChannel
2025-08-13	OPay	Uncategorized	2.0	 Aug OWealth Interest Earned  EChannel
2025-08-14	OPay	Uncategorized	2.0	 Aug OWealth Interest Earned  EChannel
2025-08-15	OPay	Uncategorized	8.0	 Aug  EChannel PalmPay 
2025-08-15	OPay	Uncategorized	-21.0	 Aug Autosave to OWealth Balance EChannel
2025-08-15	OPay	Uncategorized	2.0	 Aug OWealth Interest Earned  EChannel
2025-08-15	OPay	Uncategorized	21.0	 Aug  EChannel
2025-08-16	OPay	Uncategorized	2.0	 Aug OWealth Interest Earned  EChannel yASICLJGJrNTjgJWI
2025-08-17	OPay	Uncategorized	2.0	 Aug OWealth Interest Earned  EChannel xcPIcBfkpSfodcAZvgfM
2025-08-18	OPay	Uncategorized	2.0	 Aug OWealth Interest Earned  EChannel
2025-08-18	Access Bank	Uncategorized	5000.0	-
2025-08-18	Access Bank	Uncategorized	10.0	MOBOLAJI OLAWUYI TO PRINCE-NOBLE  -
2025-08-18	Access Bank	Uncategorized	0.75	OLAWUYI TO PRINCE-NOBLE ABUNDANCE  -
2025-08-19	Access Bank	Uncategorized	152242.0	EMMANUEL OLADAYO OLAWUYI8161428643 -
2025-08-19	OPay	Uncategorized	2.0	 Aug OWealth Interest Earned  EChannel
2025-08-20	Access Bank	Uncategorized	19078.0	TRF2MPT8om451958069531131990016EMMANUEL -
2025-08-20	OPay	Uncategorized	2.0	 Aug OWealth Interest Earned  EChannel
2025-08-21	OPay	Uncategorized	2.0	 Aug OWealth Interest Earned  EChannel gTaLEduBljoPFLzMFk
2025-08-22	OPay	Uncategorized	-16.0	 Aug Airtime EChannel
2025-08-22	OPay	Uncategorized	2.0	 Aug OWealth Interest Earned  EChannel
2025-08-22	OPay	Uncategorized	16.0	 Aug EChannel
2025-08-22	OPay	Uncategorized	16.0	 Aug  EChannel
2025-08-23	OPay	Uncategorized	2.0	 Aug OWealth Interest Earned  EChannel jrIIansaCxZbny
2025-08-23	OPay	Uncategorized	21.0	 Aug  EChannel
2025-08-23	OPay	Uncategorized	8.0	 Aug  EChannel PalmPay 
2025-08-23	OPay	Uncategorized	-21.0	 Aug Autosave to OWealth Balance EChannel
2025-08-24	Access Bank	Uncategorized	100.0	FGN ELECTRONIC MONEY TRANSFER LEVY  -
2025-08-24	OPay	Uncategorized	2.0	 Aug OWealth Interest Earned  EChannel cklDrVrOUrIZmwEYLnT
2025-08-25	OPay	Uncategorized	12.0	 Aug  EChannel
2025-08-25	OPay	Uncategorized	12.0	 Aug  EChannel Kuda MFB 
2025-08-25	OPay	Uncategorized	12.0	 Aug EChannel MONIE POINT 
2025-08-25	OPay	Uncategorized	21.0	 Aug  EChannel
2025-08-25	OPay	Uncategorized	20.0	 Aug EChannel
2025-08-25	OPay	Uncategorized	2.0	 Aug OWealth Interest Earned  EChannel
2025-08-25	OPay	Uncategorized	-21.0	 Aug Autosave to OWealth Balance EChannel
2025-08-25	OPay	Uncategorized	20.0	 Aug Reversal OPay Card Payment  EChannel
2025-08-25	OPay	Uncategorized	12.0	 Aug EChannel
2025-08-25	OPay	Uncategorized	20.0	 Aug  EChannel
2025-08-26	Access Bank	Uncategorized	5000.0	-
2025-08-26	OPay	Uncategorized	20.0	 Aug OPay Card Payment EChannel
2025-08-26	OPay	Uncategorized	-21.0	 Aug Autosave to OWealth Balance EChannel
2025-08-26	OPay	Uncategorized	19.0	 Aug OPay Card Payment EChannel
2025-08-26	OPay	Uncategorized	19.0	 Aug  EChannel Access Bank 
2025-08-26	Access Bank	Uncategorized	10.0	-
2025-08-26	OPay	Uncategorized	2.0	 Aug OWealth Interest Earned  EChannel
2025-08-26	OPay	Uncategorized	21.0	 Aug  EChannel
2025-08-26	Access Bank	Uncategorized	0.75	-
2025-08-27	OPay	Uncategorized	2.0	 Aug OWealth Interest Earned  EChannel
2025-08-28	OPay	Uncategorized	2.0	 Aug OWealth Interest Earned  EChannel IXjtAtVrqjLOhRYeAO
2025-08-29	OPay	Uncategorized	21.0	 Aug  EChannel
2025-08-29	OPay	Uncategorized	8.0	 Aug  EChannel PalmPay 
2025-08-29	OPay	Uncategorized	9.0	 Aug EChannel Kuda MFB 
2025-08-29	OPay	Uncategorized	11.0	 Aug  EChannel
2025-08-29	OPay	Uncategorized	-21.0	 Aug Autosave to OWealth Balance EChannel
2025-08-29	OPay	Uncategorized	2.0	 Aug OWealth Interest Earned  EChannel cfGoSLESqXTbFlbvLn
2025-08-29	OPay	Uncategorized	11.0	 Aug EChannel
2025-08-29	OPay	Uncategorized	11.0	 Aug EChannel OPay 
2025-08-29	OPay	Uncategorized	19.0	 Aug  EChannel
2025-08-30	Access Bank	Uncategorized	2483.0	Transfer from OLAYEMI BASIRAT OSENI -
2025-08-30	Access Bank	Uncategorized	215000.0	-
2025-08-30	Access Bank	Uncategorized	50.0	-
2025-08-30	Access Bank	Uncategorized	3.75	-
2025-08-30	OPay	Uncategorized	-21.0	 Aug Autosave to OWealth Balance EChannel
2025-08-30	OPay	Uncategorized	6.0	 Aug EChannel Access Bank 
2025-08-30	OPay	Uncategorized	21.0	 Aug  EChannel
2025-08-30	OPay	Uncategorized	7.0	 Aug EChannel
2025-08-30	OPay	Uncategorized	6.0	 Aug EChannel
2025-08-30	OPay	Uncategorized	2.0	 Aug OWealth Interest Earned  EChannel
2025-08-30	OPay	Uncategorized	6.0	 Aug  EChannel
2025-08-30	OPay	Uncategorized	7.0	 Aug EChannel
2025-08-30	OPay	Uncategorized	7.0	 Aug  EChannel
2025-08-30	OPay	Uncategorized	9.0	 Aug  EChannel OPay 
2025-08-30	Access Bank	Uncategorized	-77.4	SMS Alert Fee-2907-28082025  VAT  -
2025-08-31	OPay	Uncategorized	2.0	 Aug OWealth Interest Earned  EChannel
2025-08-31	Access Bank	Uncategorized	14000.0	SCHOOLSREF15998465705 BO THE ABSOLUTE -
